date,demand,day,month,year,dayofweek,is_weekend,lag_1,lag_7,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30
2023-01-31,119.63565711724551,31,1,2023,1,0,98.23398671536955,105.46894361601032,75.33367383027054,95.5169595638371,16.25412080389473,101.36280472399024,18.20308166824145
2023-02-01,125.87690647725984,1,2,2023,2,0,119.63565711724551,112.38064306206172,112.92673430922308,97.4449971945797,19.133303906906487,101.79447712959147,18.635190819729395
2023-02-02,110.68332263955344,2,2,2023,3,0,125.87690647725984,94.36756234269866,125.69710338970025,99.77582009413038,19.68185889747306,101.29401777125325,18.166853118867962
2023-02-03,96.88551416501954,3,2,2023,4,0,110.68332263955344,86.89475484473947,122.21161689665448,101.20307142559896,18.940371871669488,100.44981434686542,17.74484926069213
2023-02-04,92.69730343803788,4,2,2023,5,1,96.88551416501954,73.05353453474603,129.1434639698107,104.00932412606922,15.150645762800709,99.23494232913966,16.942101261384767
2023-02-05,105.72507132746328,5,2,2023,6,1,92.69730343803788,84.05257832999878,109.54139297033836,107.10539455427843,12.347907536598543,99.10773160771049,16.876245733784664
2023-02-06,119.45104503605646,6,2,2023,0,0,105.72507132746328,98.23398671536955,98.83322328687824,110.13640288580514,12.411211674851396,99.7949923326831,17.279674784663655
2023-02-07,129.76522643161135,7,2,2023,1,0,119.45104503605646,119.63565711724551,89.13377121945791,111.58348421642881,14.16936615628111,101.1493741730882,17.992863001258254
2023-02-08,129.26147265840515,8,2,2023,2,0,129.76522643161135,125.87690647725984,116.56503611391108,112.06699367087815,14.782864569635025,101.57258872457133,18.509852532019554
2023-02-09,133.46256973944455,9,2,2023,3,0,129.26147265840515,110.68332263955344,127.56155294368148,115.32117182800546,16.79745472157234,101.76928928443012,18.82424012900199
2023-02-10,108.73189878556629,10,2,2023,4,0,133.46256973944455,96.88551416501954,129.405520908702,117.01351248808355,15.14608771340181,101.08016854699227,18.143754019370654
2023-02-11,92.23625279755724,11,2,2023,5,1,108.73189878556629,92.69730343803788,115.63889650130874,116.94764811087205,15.269948954975403,100.30008042353387,17.998736209726157
